"Field","ID","Type (種類)","default","en-us","ja-jp"
"Description","2","テキスト","","CloudMigrator is a Windows desktop and command-line tool for moving files from a configured OneDrive source to SharePoint Online or Dropbox. It crawls folders, transfers large files in chunks, resumes interrupted work from local state, and provides progress and structured logs through the CLI and Dashboard. The app uses credentials supplied by the user and sends files to the cloud provider selected for the migration.","CloudMigrator は、設定した OneDrive を転送元として、SharePoint Online または Dropbox へファイルを移行する Windows 向け CLI / デスクトップツールです。フォルダーを再帰的に走査し、大容量ファイルをチャンク分割して転送します。中断時はローカル状態を利用して再開でき、CLI と Dashboard で進捗と構造化ログを確認できます。ユーザーが指定した認証情報を使用し、移行先として選択したクラウドプロバイダーへファイルを送信します。"
"ReleaseNotes","3","テキスト","","",""
"Title","4","テキスト","","CloudMigrator","CloudMigrator"
"ShortTitle","5","テキスト","","Enterprise Cloud Migration","クラウドデータ移行"
"SortTitle","6","テキスト","","",""
"VoiceTitle","7","テキスト","","",""
"ShortDescription","8","テキスト","","Move OneDrive files to SharePoint Online or Dropbox with resumable large-file transfer and transparent progress logs.","OneDrive から SharePoint Online または Dropbox へ、大容量ファイルを再開可能に移行。進捗とログを確認できます。"
"DevStudio","9","テキスト","","scottlz0310","scottlz0310"
"CopyrightTrademarkInformation","12","テキスト","","Copyright (c) 2026 scottlz0310. CloudMigrator is a product name of scottlz0310.","Copyright (c) 2026 scottlz0310。CloudMigrator は scottlz0310 の製品名です。"
"AdditionalLicenseTerms","13","テキスト","","MIT License. See the LICENSE file: https://github.com/scottlz0310/cloud-migrator/blob/main/LICENSE","MIT License。ライセンス全文は LICENSE を参照してください: https://github.com/scottlz0310/cloud-migrator/blob/main/LICENSE"
"DesktopScreenshot1","100","相対パス (またはパートナー センターにあるファイルへの URL)","","store/screenshot_dashboard.png","store/screenshot_dashboard.png"
"DesktopScreenshot2","101","相対パス (またはパートナー センターにあるファイルへの URL)","","store/screenshot_settings.png","store/screenshot_settings.png"
"DesktopScreenshot3","102","相対パス (またはパートナー センターにあるファイルへの URL)","","store/screenshot_logs.png","store/screenshot_logs.png"
"DesktopScreenshot4","103","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot5","104","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot6","105","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot7","106","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot8","107","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot9","108","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot10","109","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot11","110","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot12","111","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot13","112","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot14","113","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot15","114","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot16","115","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot17","116","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot18","117","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot19","118","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot20","119","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot21","120","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot22","121","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot23","122","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot24","123","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot25","124","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot26","125","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot27","126","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot28","127","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot29","128","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshot30","129","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"DesktopScreenshotCaption1","150","テキスト","","Track migration progress, phases, and recent activity in the Dashboard.","Dashboard で移行の進捗、フェーズ、最近の処理を確認できます。"
"DesktopScreenshotCaption2","151","テキスト","","Configure the source and destination route before starting a migration.","移行を開始する前に転送元と転送先のルートを設定できます。"
"DesktopScreenshotCaption3","152","テキスト","","Review structured transfer logs and errors for operational follow-up.","運用後に構造化された転送ログとエラーを確認できます。"
"DesktopScreenshotCaption4","153","テキスト","","",""
"DesktopScreenshotCaption5","154","テキスト","","",""
"DesktopScreenshotCaption6","155","テキスト","","",""
